编号,通道名,描述,效果,关键词
1,血迹通道,地面布满尚未凝固的血迹。 ,进入下一个地图时，生命 -1；抽牌数 +1,
2,长途跋涉的山,永无止境的攀登。 ,最大手牌数 -1；攻击伤害 +1,
3,断裂浮桥,悬空残桥横跨深渊。 ,50% 概率失去 1 张随机手牌,
4,炮火回廊,自动炮塔仍在运作。 ,进入地图时受到 2 点伤害,
5,焚魂隧道,符文燃烧着灵魂。 ,获得【腐化】1 层,
6,弃誓者之径,誓言在此失效。 ,移除 1 个正面状态；获得 2 临时生命,
7,灵魂回响坡,失败的低语不断回荡。 ,若此前失败过，攻击 +2；否则生命 -1,
8,黑铁运输线,残余补给尚存。 ,获得 1 张随机装备牌,
9,腐朽回廊,墙壁不断剥落。 ,防御牌效果 -1,
10,炼狱斜坡,炽热岩石灼烧双足。 ,首回合行动消耗 +1,
11,阴影裂径,光线被完全吞噬。 ,首回合抽牌 -1,
12,血雾峡道,视野被血雾遮蔽。 ,首次攻击命中率下降,
13,荒芜石道,破碎石板向前延伸。,无额外效果,
14,空壳隧道,曾经的通道已被掏空。,无额外效果,
15,风蚀山径,冷风呼啸而过。,无额外效果,
16,灰烬坡道,只有灰烬与脚印。,无额外效果,
17,裂纹甬道,墙壁布满裂痕。,无额外效果,
18,干涸河床,河水早已蒸发。,无额外效果,
19,断旗大道,破败军旗随风摆动。,无额外效果,
20,废弃军路,战争机器留下的痕迹。,无额外效果,
21,回声石阶,每一步都有回声。,若本回合未受伤，抽 1 张牌,
22,烟尘隘口,灰尘遮蔽视线。,首回合敌方命中率 -1,
23,迟缓斜道,地形阻滞前进。,首回合玩家速度 -1,
24,冷却通路,战火尚未蔓延至此。,进入地图时获得 1 临时生命值,
